| ITERS |       (Xi,Yi)        | f(Xi,Yi)|       (s1,s2)        |  Lambd  |/Xi-Xi-1/|  angle  |           H           |
|       |                      |         |                      |         |/Yi-Yi-1/|         |                       |
|       |                      |         |                      |         |/fi-fi-1/|         |                       |
| 0     |( 0.000000,  0.000000)| 1.000000|                      |         |         |         |                       |
| 1     |( 0.167772,  0.000000)| 0.771831|(-2.000000,  0.000000)| 0.083886| 0.167772| 1.000000|[ 0.883361    0.319257]|
|       |                      |         |                      |         | 0.000000|         |[ 0.319257    0.126154]|
|       |                      |         |                      |         | 0.228169|         |                       |
| 2     |( 0.296208,  0.051289)| 0.628187|(-1.598949, -0.638513)| 0.080325| 0.128435| 0.978347|[ 0.070144    0.036143]|
|       |                      |         |                      |         | 0.051289|         |[ 0.036143    0.027591]|
|       |                      |         |                      |         | 0.143644|         |                       |
| 3     |( 0.340756,  0.123364)| 0.439858|(-0.059286, -0.095920)| 0.751414| 0.044548| 0.783923|[ 0.042430    0.030428]|
|       |                      |         |                      |         | 0.072075|         |[ 0.030428    0.026412]|
|       |                      |         |                      |         | 0.188329|         |                       |
| 4     |( 0.457901,  0.192864)| 0.322125|(-0.053752, -0.031890)| 2.179364| 0.117145| 0.990654|[ 0.244908    0.194576]|
|       |                      |         |                      |         | 0.069501|         |[ 0.194576    0.159487]|
|       |                      |         |                      |         | 0.117733|         |                       |
| 5     |( 0.538762,  0.265146)| 0.275834|(-0.165649, -0.148073)| 0.488146| 0.080861| 0.963210|[ 0.086289    0.080947]|
|       |                      |         |                      |         | 0.072281|         |[ 0.080947    0.078087]|
|       |                      |         |                      |         | 0.046291|         |                       |
| 6     |( 0.959597,  0.897222)| 0.057349|(-0.019161, -0.028779)| 21.962982| 0.420836| 0.973306|[ 0.086994    0.100182]|
|       |                      |         |                      |         | 0.632077|         |[ 0.100182    0.602296]|
|       |                      |         |                      |         | 0.218485|         |                       |
| 7     |(-7.464400,  54.023815)| 358.423337|( 0.308214, -1.943773)| 27.331691| 8.423997| 0.999801|[ 0.003988   -0.035466]|
|       |                      |         |                      |         | 53.126592|         |[-0.035466    0.380621]|
|       |                      |         |                      |         | 358.365989|         |                       |
| 8     |( 1.060565,  1.124872)| 0.003669|(-8.220757,  51.011273)| 1.037005| 8.524965|-0.609185|[ 0.004091   -0.036102]|
|       |                      |         |                      |         | 52.898943|         |[-0.036102    0.384573]|
|       |                      |         |                      |         | 358.419669|         |                       |
| 9     |( 1.060518,  1.125580)| 0.003740|(-0.000154,  0.002320)|-0.305172| 0.000047|-0.680681|[ 0.000500    0.000768]|
|       |                      |         |                      |         | 0.000708|         |[ 0.000768    0.006012]|
|       |                      |         |                      |         | 0.000071|         |                       |
| 10    |( 1.060509,  1.124672)| 0.003661|( 0.000009,  0.000865)| 1.049518| 0.000010|-0.734786|[ 0.478320    1.014537]|
|       |                      |         |                      |         | 0.000907|         |[ 1.014537    2.156874]|
|       |                      |         |                      |         | 0.000079|         |                       |
| 11    |( 1.019180,  1.037018)| 0.000661|( 0.057885,  0.122770)| 0.713974| 0.041328|-0.944034|[ 0.405201    0.848805]|
|       |                      |         |                      |         | 0.087655|         |[ 0.848805    1.781225]|
|       |                      |         |                      |         | 0.003001|         |                       |
| 12    |( 0.998336,  0.996283)| 0.000018|( 0.007722,  0.015091)| 2.699352| 0.020844|-0.951272|[ 0.497427    1.019699]|
|       |                      |         |                      |         | 0.040735|         |[ 1.019699    2.097889]|
|       |                      |         |                      |         | 0.000642|         |                       |
| 13    |( 0.998392,  0.996406)| 0.000017|(-0.003734, -0.008249)| 0.014997| 0.000056| 0.935447|[ 0.379870    0.762776]|
|       |                      |         |                      |         | 0.000124|         |[ 0.762776    1.536385]|
|       |                      |         |                      |         | 0.000001|         |                       |
| 14    |( 0.999965,  0.999932)| 0.000000|(-0.001546, -0.003464)| 1.017978| 0.001573| 0.933871|[ 0.384550    0.772625]|
|       |                      |         |                      |         | 0.003526|         |[ 0.772625    1.557111]|
|       |                      |         |                      |         | 0.000017|         |                       |
