|   r     |       (Xi,Yi)        | f(Xi,Yi)| g(Xi,Yi)|
| 1.000000|( 1.000000,  1.000000)| 21.000000|-1.000000|
| 1.000000|( 2.000839, -1.900839)| 0.050001| 0.900000|
| 2.000000|( 2.000000, -1.800000)| 0.200000| 0.800000|
| 4.000000|( 2.107374, -1.692626)| 0.871610| 0.585252|
| 8.000000|( 2.322123, -1.477877)| 3.667512| 0.155755|
| 16.000000|( 2.400000, -1.400000)| 5.160000| 0.000000|
| 32.000000|( 2.400000, -1.400000)| 5.160000| 0.000000|
| 64.000000|( 2.400000, -1.400000)| 5.160000| 0.000000|
| 128.000000|( 2.400000, -1.400000)| 5.160000| 0.000000|
| 256.000000|( 2.400000, -1.400000)| 5.160000| 0.000000|
| 512.000000|( 2.400000, -1.400000)| 5.160000| 0.000000|
| 1024.000000|( 2.400000, -1.400000)| 5.160000| 0.000000|
| 2048.000000|( 2.400000, -1.400000)| 5.160000|-0.000000|
