|   r     |       (Xi,Yi)        | f(Xi,Yi)| h(Xi,Yi)|
| 100.000000|( 1.000000,  2.000000)| 46.000000|-1.000000|
| 100.000000|( 0.099766,  0.090258)| 3.791435| 0.009508|
| 10000.000000|( 0.090358,  0.090258)| 3.809842| 0.000101|
| 1000000.000000|( 0.090254,  0.090258)| 3.810053|-0.000004|
| 100000000.000000|( 0.090258,  0.090258)| 3.810045| 0.000000|
| 10000000000.000000|( 0.090258,  0.090258)| 3.810045|-0.000000|
| 1000000000000.000000|( 0.090258,  0.090258)| 3.810045| 0.000000|
| 100000000000000.000000|( 0.090258,  0.090258)| 3.810045| 0.000000|
| 10000000000000000.000000|( 0.090258,  0.090258)| 3.810045| 0.000000|
| 1000000000000000000.000000|( 0.090258,  0.090258)| 3.810045| 0.000000|
| 100000000000000000000.000000|( 0.090258,  0.090258)| 3.810045| 0.000000|
| 10000000000000000000000.000000|( 0.090258,  0.090258)| 3.810045| 0.000000|
